,url,title,likes,comments,saves,shares,description,nickname,created_at,username,duration,date_creation,duration_seconds,tags,predicted_category
0,https://www.tiktok.com/@singaporeprisonservice/video/7474505664543362312,Always confident and adapting to challenges— Sounds like cave diving🥽… or just another day for our #CaptainsOfLives!👮‍♂️ #SPS #SingaporePrisonService #BehindPrisonWalls #prisontiktok #changiprison #prisonlife #captainsoflives #SPS #singaporeprison #trending #fyp #foryoupage #fypsg #foryoupagesg #viralvideo #cavedivers #cavediving #cave #diver,178000.0,1553.0,17200.0,34700.0,,Singapore Prison Service,2-23,singaporeprisonservice,00:08 / 00:14,2025-02-23,14,"['#SingaporePrisonService', '#cavedivers', '#changiprison', '#prisontiktok', '#captainsoflives', '#foryoupage', '#BehindPrisonWalls', '#SPS', '#fypsg', '#prisonlife', '#diver', '#CaptainsOfLives', '#foryoupagesg', '#fyp', '#cave', '#viralvideo', '#singaporeprison', '#cavediving', '#trending']",Action/Adventure
1,https://www.tiktok.com/@chardewvalley/video/7474218350806093063,Cleaniness > comfort,1900000.0,4384.0,68300.0,213200.0,Discover the importance of keeping your home clean by not bringing outside clothes onto your bed. Learn how to create a comfortable space. #Cleanliness #HomeComfort,Char,2-22,chardewvalley,00:03 / 00:05,2025-02-22,5,"['#Cleanliness', '#HomeComfort']",Family
2,https://www.tiktok.com/@ejtheoppa/video/7475004405641694480,,333500.0,992.0,14900.0,45500.0,,eejay,1w ago ,ejtheoppa,00:08 / 00:09,2025-03-01,9,[],Others
3,https://www.tiktok.com/@singyeah18/video/7463326085967662343,Commute safely🙏🙏🙏🙏🙏,9461.0,0.0,925.0,9946.0,Learn how to commute safely following recent incidents. Stay informed and protect yourself on the roads. #CommuteSafely #AccidentAwareness,SingYeah 18♏,1-24,singyeah18,00:03 / 00:16,2025-01-24,16,"['#CommuteSafely', '#AccidentAwareness']",Shows
4,https://www.tiktok.com/@azulacinta/video/7446605590786247943,"dont bash the hotel ah its not their fault a pipe broke. instead of getting angry, me and hafiy took polaroids to remember this day bcs its so FUN HAHAHAHA btw, the hotel staff was really nice and compensated us for alot of things & also gave us a new room so please don't think i'm complaining!!! i believe that; things always happen but how hotel staff handle situations like this shows how they are as a company <3",273600.0,599.0,10200.0,15400.0,Experience the fun side of travel mishaps! Join us as we create memories despite a pipe break at Hotel Royal Queen Singapore. #corememoryforreal,Azula Cinta,2024-12-10,azulacinta,00:02 / 00:14,2024-12-10,14,['#corememoryforreal'],Shows
5,https://www.tiktok.com/@auntfortunecookie/video/7467697069457902866,Very HdB concept! Good food & good service #trulysingaporean,35200.0,253.0,4836.0,6397.0,Explore the finest Singaporean foods and restaurants with great service! Perfect for date ideas. #trulysingaporean #sgfood,AuntFortuneCookie,2-5,auntfortunecookie,00:03 / 00:22,2025-02-05,22,"['#sgfood', '#trulysingaporean']",Howto & Style
6,https://www.tiktok.com/@squashyboy2/video/7465328460404149522,let the war begin #cny2025,554500.0,3615.0,42300.0,43900.0,"Unveil the drama as empty red packets are sneakily placed in random bags, sparking family fun during the Chinese New Year celebrations. #cny2025 #redpacket",Squashy Boy,1-29,squashyboy2,00:03 / 00:10,2025-01-29,10,"['#cny2025', '#redpacket']",Foreign
7,https://www.tiktok.com/@nurturejirou/video/7476364861291646228,IT HAS HAPPENED AGAIN?  Only #Hume  #humemrt #humestation #lta #mrt,29200.0,577.0,1684.0,7325.0,Discover the latest updates on Hume MRT station opening in Punggol Coast. Find out the services and benefits for commuters! #Hume #humemrt #humestation #lta #mrt,ryo,3d ago ,nurturejirou,00:02 / 00:16,2025-03-05,16,"['#Hume', '#lta', '#mrt', '#humestation', '#humemrt']",Horror
8,https://www.tiktok.com/@bens_social_club/video/7465693421210963208,We must learn to stay safe on public transport🙏 #mrt #mrtstationsingapore #benpuah #benssocialclub #singapore #singaporenews #viral #fypシ #fyp #tiktoksg,15200.0,935.0,1019.0,8920.0,Discover breathtaking MRT stations in Singapore and join the conversation about local happenings. #mrt #singapore #singaporenews #benpuah #benssocialclub,Ben’s Social Club,1-30,bens_social_club,00:02 / 00:15,2025-01-30,15,"['#singaporenews', '#viral', '#fyp', '#benpuah', '#tiktoksg', '#mrt', '#mrtstationsingapore', '#fypシ', '#singapore', '#benssocialclub']",Shows
9,https://www.tiktok.com/@runnerkao/video/7474934543460453650,Montfort is so sigma! #nobullying @KaoFam,20700.0,863.0,1232.0,4427.0,,Runner Kao,1w ago ,runnerkao,00:07 / 00:15,2025-03-01,15,['#nobullying'],Family
10,https://www.tiktok.com/@faris.samri/video/7475747952229649682,Why so extra,158500.0,520.0,9745.0,20900.0,Discover Bukit Timah's unique houses and water tower climbing experiences in Singapore. Join us for an unforgettable adventure! #BukitTimah #SingaporeVacation,faris,5d ago ,faris.samri,00:03 / 00:41,2025-03-03,41,"['#BukitTimah', '#SingaporeVacation']",Foreign
11,https://www.tiktok.com/@lionaryder/video/7455506127585905940,So many witnesses 👀😂,87500.0,319.0,3391.0,22100.0,Join us for a Marina Bay boat ride reminiscent of Titanic moments! Enjoy stunning views and memories made. #Titanic #BoatRides #MarinaBay,Liona Ryder,1-3,lionaryder,00:02 / 00:11,2025-01-03,11,"['#Titanic', '#BoatRides', '#MarinaBay']",Comedy
12,https://www.tiktok.com/@malloryroh/video/7473994857350974750,Had to hop on this trend😂🥺😂 #hibachi #hibachibaby #ninja #viral #trending #malloryroh,24500000.0,73900.0,1300000.0,4000000.0,Watch adorable babies react to their first hibachi show! Expect laughter and surprise as they experience the flames and tricks. #hibachi #BabyFirstHibachi,Mal,2-22,malloryroh,00:03 / 00:10,2025-02-22,10,"['#BabyFirstHibachi', '#viral', '#malloryroh', '#hibachibaby', '#ninja', '#trending', '#hibachi']",Anime/Animation
13,https://www.tiktok.com/@_reefkey_/video/7458336520739540231,"‘Sian everyday rain, sian everyday hot.’ Then what you want brother john 😡 #tiktoksg",54800.0,653.0,3494.0,8926.0,"Explore the effects of Singapore's monsoon season, including daily rain and heat. Find out what to expect during these storms! #tiktoksg #monsoonseason #SingaporeWeather",_reefkey_,1-11,_reefkey_,00:02 / 00:13,2025-01-11,13,"['#tiktoksg', '#monsoonseason', '#SingaporeWeather']",Family
14,https://www.tiktok.com/@mothershipsg/video/7474530358466284807,A woman can be heard on the phone requesting assistance. #fyp #tiktoksg,145400.0,5215.0,12600.0,46800.0,,Mothership,2-23,mothershipsg,00:08 / 00:32,2025-02-23,32,"['#tiktoksg', '#fyp']",Foreign
15,https://www.tiktok.com/@weisstomi/video/7448062864344091910,contenido no relacionado a hamburguesas #chile #fyp #vlog #viral,20900000.0,139900.0,892500.0,4700000.0,Descubre si tu perro es un skinwalker con estos consejos sobre los poodles gigantes. ¡No te pierdas este vlog viral! #chile #fyp #vlog #viral #perros #skinwalker,Tomi Weiss,2024-12-14,weisstomi,00:02 / 00:07,2024-12-14,7,"['#viral', '#fyp', '#vlog', '#perros', '#chile', '#skinwalker']",Foreign
16,https://www.tiktok.com/@victorkjaer/video/7451071297842351378,ตอบกลับ @Puteri Yasmin  สถิติการเข้ารอบของ SINGAPORE 🇸🇬 บนเวทีการประกวด MISS UNIVERSE 👑✨ #นางงาม #นางงามจักรวาล #beautyqueen #missuniverse #fyp #ฟีด #missuniverse2024,21700.0,1081.0,2048.0,5578.0,เชิญสังเกตความสวยงามของ SINGAPORE 🇸🇬 ในการประกวด MISS UNIVERSE ว่าไปอย่างไร พร้อมกับเทรนด์โซเชียลที่ได้รับความนิยม #นางงาม #นางงามจักรวาล #beautyqueen #missuniverse #ฟีด #missuniverse2024,victorkjaer,2024-12-22,victorkjaer,00:03 / 01:03,2024-12-22,63,"['#missuniverse2024', '#beautyqueen', '#fyp', '#นางงาม', '#ฟ', '#missuniverse', '#นางงามจ']",Foreign
17,https://www.tiktok.com/@quanghung1411/video/7443614963454709010,2 xe bay đầu tại Singapore 😱#singapore #xuhuong,22400.0,443.0,2101.0,9228.0,"Khám phá những vụ tai nạn gần đây tại Singapore, bao gồm cả sự cố ở Jurong. Nhấn vào xem ngay để biết thêm chi tiết! #singapore #xuhuong",quanghung1411,2024-12-2,quanghung1411,00:02 / 00:13,2024-12-2,13,"['#xuhuong', '#singapore']",Foreign
18,https://www.tiktok.com/@alextheapollokid_/video/7459246231789899015,thought it would be cheaper cause the studio charges $16 but in the end I had to spend $20 cause need to take twice,180000.0,284.0,2547.0,15500.0,Discover how to take the perfect passport photo and avoid common pitfalls. Learn from my experience with earpieces! #PassportPhoto #PhotoTips,alextheapollokid,1-13,alextheapollokid_,00:02 / 00:06,2025-01-13,6,"['#PassportPhoto', '#PhotoTips']",Entertainment
